Sl. No.,Bank,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25 (as on 31-12-2024)
1,Abu Dhabi Commercial Bank PJSC,64,NA,NA,NA,NA,NA
2,American Express Banking Corporation,180,127,215,78,99,96
3,AU Small Finance Bank Limited,47,115,188,190,405,741
4,Australia and New Zealand Banking Group Limited,75,NA,NA,NA,NA,NA
5,Axis Bank Limited,9019,12018,9126,6248,8346,8432
6,Bandhan Bank Limited,655,2038,3247,8017,3852,1275
7,Bank of Bahrain and Kuwait B.S.C.,5,61,9,NA,0,17
8,Bank of Baroda,15912,14782,17967,17998,10518,7007
9,Bank of Ceylon,NA,1,0,NA,NA,NA
10,Bank of India,7618,8815,10443,8694,9897,5688
11,Bank of Maharashtra,5698,4931,3118,1491,990,679
12,Bank of Nova Scotia,NA,NA,NA,62,0,NA
13,Barclays Bank PLC,52,73,163,80,31,NA
14,BNP Paribas,NA,NA,1,6,NA,NA
15,Canara Bank,7498,9132,8422,12760,11827,9328
16,Syndicate Bank,4934,NA,NA,NA,NA,NA
17,Capital Small Finance Bank Limited,0,0,0,0,0,0
18,Central Bank of India,4169,5992,1236,10258,10001,1351
19,Citibank N.A.,559,370,576,351,3,58
20,City Union Bank Limited,374,412,629,530,263,120
21,Cooperatieve Rabobank U.A.,123,NA,175,60,59,NA
22,Credit Suisse AG,260,NA,NA,NA,NA,NA
23,CSB Bank Limited,215,138,110,21,11,36
24,DBS Bank India Limited,184,139,438,762,691,454
25,Lakshmi Vilas Bank Limited,19,108,NA,NA,NA,NA
26,DCB Bank Limited,120,126,88,162,112,93
27,Deutsche Bank AG,105,485,213,100,807,155
28,Dhanlaxmi Bank Limited,103,14,83,3,55,1
29,Doha Bank Q.P.S.C.,NA,NA,NA,NA,27,NA
30,Equitas Small Finance Bank Limited,72,245,360,410,232,527
31,ESAF Small Finance Bank Limited,29,NA,74,495,306,430
32,Federal Bank Limited,734,398,929,375,111,519
33,Fincare Small Finance Bank Limited,45,28,370,473,184,NA
34,HDFC Bank Limited,8254,9289,9405,10769,11030,8550
35,Hongkong and Shanghai Banking Corporation Limited,118,185,234,NA,NA,NA
36,ICICI Bank Limited,10952,9507,10148,4521,6198,7204
37,IDBI Bank Limited,5936,8392,2889,21926,2985,462
38,IDFC First Bank Limited,1510,1433,4202,2797,2984,3384
39,Indian Bank,3032,8371,8347,7952,8734,4084
40,Allahabad Bank,9120,NA,NA,NA,NA,NA
41,Indian Overseas Bank,16405,4618,3769,3412,7179,835
42,IndusInd Bank Limited,2539,4055,4385,3762,2471,2264
43,Industrial and Commercial Bank of China,43,35,NA,NA,NA,NA
44,Jammu and Kashmir Bank Limited,65,1185,758,805,620,14
45,Jana Small Finance Bank Limited,300,233,585,639,319,227
46,Karnataka Bank Limited,904,1060,585,498,395,324
47,Karur Vysya Bank Limited,961,619,879,1892,654,563
48,KEB Hana Bank,NA,12,NA,NA,NA,18
49,Kotak Mahindra Bank Limited,936,628,1230,790,2258,1870
50,Nainital Bank Limited,0,1,119,3,45,NA
51,North East Small Finance Bank Limited,8,NA,81,98,NA,NA
52,PT Bank Maybank Indonesia TBK,NA,NA,18,NA,NA,NA
53,Punjab and Sind Bank,1781,71,1134,2283,796,1099
54,Punjab National Bank (PNB),13365,15877,18312,16578,18317,10030
55,Oriental Bank of Commerce,3351,NA,NA,NA,NA,NA
56,United Bank of India,1728,NA,NA,NA,NA,NA
57,Qatar National Bank (Q.P.S.C),NA,NA,NA,NA,52,NA
58,RBL Bank Limited,1253,1675,2294,1758,1720,1965
59,Sberbank,NA,NA,50,14,NA,NA
60,SBM Bank (India) Limited,45,12,19,NA,NA,1
61,Shinhan Bank,NA,NA,NA,0,133,1
62,Shivalik Small Finance Bank Limited,NA,NA,NA,5,1,11
63,Societe Generale,NA,NA,NA,NA,73,NA
64,South Indian Bank Limited,874,1135,700,157,328,133
65,Standard Chartered Bank,3111,1697,1325,423,567,632
66,State Bank of India,52362,34402,19666,24061,16161,10263
67,Suryoday Small Finance Bank Limited,48,97,231,620,103,147
68,Tamilnad Mercantile Bank Limited,366,393,321,99,211,2
69,Hongkong and Shanghai Banking Corporation Limited,NA,NA,NA,99,100,66
70,UCO Bank,12479,9410,3851,2575,1938,1261
71,Ujjivan Small Finance Bank Limited,64,74,789,483,274,241
72,Union Bank of India (UBI),8417,16983,19484,19175,18264,10404
73,Andhra Bank,4195,NA,NA,NA,NA,NA
74,Corporation Bank,3814,NA,NA,NA,NA,NA
75,United Overseas Bank Limited,55,NA,NA,NA,51,NA
76,Unity Small Finance Bank Limited,NA,NA,NA,9,3406,165
77,Utkarsh Small Finance Bank Limited,56,35,219,383,313,431
78,Woori Bank,13,NA,NA,NA,NA,58
79,Yes Bank Limited,6842,12240,971,18114,2762,2078
